index	genome	identifier	file	clip	scale	sum_stat	description
5323	1	ENCFF680PQC	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMV/summary/coverage.w5	32	2	mean	DNASE:129 ES-CJ7
5324	1	ENCFF872IES	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMW/summary/coverage.w5	32	2	mean	DNASE:129 ES-E14
5325	1	ENCFF974BRL	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMX/summary/coverage.w5	32	2	mean	DNASE:mixed WW6
5326	1	ENCFF660XSJ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMY/summary/coverage.w5	32	2	mean	DNASE:mixed WW6
5327	1	ENCFF391SPW	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNA/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 fibroblast of lung male adult (8 weeks)
5328	1	ENCFF837OUY	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNB/summary/coverage.w5	32	2	mean	DNASE:CD-1 forelimb bud male embryo (11.5 days)
5329	1	ENCFF090NJT	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNC/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 gonadal fat pad male adult (8 weeks)
5330	1	ENCFF227XDD	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CND/summary/coverage.w5	32	2	mean	DNASE:CD-1 embryo male embryo (11.5 days) depleted in head
5331	1	ENCFF773NKY	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNE/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 heart male adult (8 weeks)
5332	1	ENCFF037VPV	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNF/summary/coverage.w5	32	2	mean	DNASE:CD-1 hindlimb bud male embryo (11.5 days)
5333	1	ENCFF561HSI	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNG/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 kidney male adult (8 weeks)
5334	1	ENCFF650OFZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNH/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 large intestine male adult (8 weeks)
5335	1	ENCFF395XSI	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNJ/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 liver male embryo (14.5 days)
5336	1	ENCFF906XJY	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNK/summary/coverage.w5	32	2	mean	DNASE:129 liver male embryo (14.5 days)
5337	1	ENCFF435WED	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNL/summary/coverage.w5	32	2	mean	DNASE:129 liver male embryo (14.5 days)
5338	1	ENCFF102MGA	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNM/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 lung male adult (8 weeks)
5339	1	ENCFF990ATO	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNN/summary/coverage.w5	32	2	mean	DNASE:DBA/2 MEL cell line
5340	1	ENCFF673VVB	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNO/summary/coverage.w5	32	2	mean	DNASE:CD-1 mesoderm male embryo (11.5 days)
5341	1	ENCFF223QRV	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNP/summary/coverage.w5	32	2	mean	DNASE:DBA/2 MEL-GATA-1-ER
5342	1	ENCFF516XER	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNQ/summary/coverage.w5	32	2	mean	DNASE:DBA/2 erythroblast originated from MEL-GATA-1-ER treated with 1 uM estradiol for 24 hours
5343	1	ENCFF178FCM	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNR/summary/coverage.w5	32	2	mean	DNASE:DBA/2 erythroblast originated from MEL-GATA-1-ER treated with 1 uM estradiol for 48 hours
5344	1	ENCFF950ALJ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNS/summary/coverage.w5	32	2	mean	DNASE:NIH/Swiss NIH3T3
5345	1	ENCFF632WLC	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNT/summary/coverage.w5	32	2	mean	DNASE:M.spretus x C57BL/6J Patski
5346	1	ENCFF908NIP	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNU/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 retina male postnatal (7 days)
5347	1	ENCFF261PZG	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNV/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 retina male postnatal (1 day)
5348	1	ENCFF259ZNG	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNW/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 retina male adult (8 weeks)
5349	1	ENCFF731YAA	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNX/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 skeletal muscle tissue male adult (8 weeks)
5350	1	ENCFF546FZT	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNY/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 spleen male adult (8 weeks)
5351	1	ENCFF896PZK	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COA/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 CD4-positive helper T cell male adult (8 weeks)
5352	1	ENCFF540HLI	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COB/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 thymus male adult (8 weeks)
5353	1	ENCFF242YCJ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COD/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 induced T-regulatory cell male adult (8 weeks)
5354	1	ENCFF992QCB	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COE/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 brain male embryo (14.5 days)
5355	1	ENCFF257BKZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COF/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 brain male adult (8 weeks)
5356	1	ENCFF333MPS	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COG/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 brain male embryo (18.5 days)
5357	1	ENCFF424XOH	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COH/summary/coverage.w5	32	2	mean	DNASE:129 ZHBTc4-mESC
5358	1	ENCFF448ZJM	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COI/summary/coverage.w5	32	2	mean	DNASE:129 ZHBTc4-mESC treated with 100 ng/mL doxycycline hyclate for 24 hours
5359	1	ENCFF825ZVT	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COJ/summary/coverage.w5	32	2	mean	DNASE:129 ZHBTc4-mESC treated with 100 ng/mL doxycycline hyclate for 6 hours
5360	1	ENCFF513QAB	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR005WPU/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 heart postnatal (0 days)
5361	1	ENCFF009ALP	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR014SFF/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 forebrain embryo (11.50 days)
5362	1	ENCFF299KAN	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR066DPD/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 kidney postnatal (0 days)
5363	1	ENCFF417SAZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR094XAY/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 lung postnatal (0 days)
5364	1	ENCFF829UGS	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR172RHR/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryo embryo (10.5 days)
5365	1	ENCFF107NBQ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR179PIH/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 hindbrain embryo (14.5 days)
5366	1	ENCFF373NJX	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR196VDE/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryonic facial prominence embryo (11.5 days)
5367	1	ENCFF540VTK	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR216UMD/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 liver postnatal (0 days)
5368	1	ENCFF888LAZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR289BTM/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 hindbrain embryo (10.50 days)
5369	1	ENCFF906WCV	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR292QBA/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 midbrain embryo (11.5 days)
5370	1	ENCFF649UQO	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR312QVY/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 neural tube embryo (11.5 days)
5371	1	ENCFF729TAB	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR319PWR/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 R1
5372	1	ENCFF149TTQ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR337EDG/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 forebrain embryo (14.5 days)
5373	1	ENCFF943PHW	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR358ESL/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 hindbrain embryo (11.5 days)
5374	1	ENCFF115OLL	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR367FCW/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 midbrain embryo (14.5 days)
5375	1	ENCFF963PGF	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR372SMH/summary/coverage.w5	32	2	mean	DNASE:DBA/2 MEL cell line treated with 125 uM zinc dichloride for 24 hours
5376	1	ENCFF625SMQ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR380VCU/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 limb embryo (10.50 days)
5377	1	ENCFF155MQS	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR446MUM/summary/coverage.w5	32	2	mean	DNASE:DBA/2 MEL cell line
5378	1	ENCFF283WGI	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR469VGZ/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 hindbrain postnatal (0 days)
5379	1	ENCFF266ZDD	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR488VEQ/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 retina embryo (14.5 days)
5380	1	ENCFF076VZF	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR561FZE/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 liver embryo (11.50 days)
5381	1	ENCFF802BPW	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR636NXY/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 limb embryo (14.5 days)
5382	1	ENCFF622EDP	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR655WKX/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 intestine embryo (14.50 days)
5383	1	ENCFF945EBN	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR661GMU/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 neural tube embryo (10.50 days)
5384	1	ENCFF641OPE	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR661HDP/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 limb embryo (11.5 days)
5385	1	ENCFF586XFN	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR666HFH/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 Muller cell postnatal (12 days)
5386	1	ENCFF435DKT	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR687EAW/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 3T3-L1
5387	1	ENCFF363ULE	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR687JCD/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryo embryo (9.50 days)
5388	1	ENCFF894XDN	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR723IXU/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryo embryo (10 days)
5389	1	ENCFF919AUF	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR732IZK/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 MN1
5390	1	ENCFF043UNG	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR742DUR/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 lung embryo (14.5 days)
5391	1	ENCFF071TLE	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR749ILN/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 heart embryo (10.50 days)
5392	1	ENCFF247KMU	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR756SPS/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 forebrain embryo (10.50 days)
5393	1	ENCFF610ONZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR767AJS/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 midbrain postnatal (0 days)
5394	1	ENCFF327SCP	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR773SAG/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 midbrain embryo (10.50 days)
5395	1	ENCFF846VXR	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR774TQO/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryo embryo (11 day)
5396	1	ENCFF458SNJ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR775YJL/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryonic facial prominence embryo (10.50 days)
5397	1	ENCFF684BQC	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR791AJY/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 forebrain postnatal (0 days)
5398	1	ENCFF014NWA	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR855ASN/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 acute myeloid leukemia
5399	1	ENCFF353HPD	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR894HWV/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 yolk sac embryo (10.50 days)
5400	1	ENCFF514HPX	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR898KAX/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 MN1 treated with 10 nM methyltrienolone
5401	1	ENCFF125IRZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR935RRY/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 thymus postnatal (0 days)
5402	1	ENCFF580UUE	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR959HKR/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryonic facial prominence embryo (14.5 days)
5403	1	ENCFF974HWL	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR964VDK/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 R1
5404	1	ENCFF197TQR	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR969OPE/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 stomach postnatal (0 days)
5405	1	ENCFF325RFB	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR998KYQ/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 adipocyte
5406	1	GSM1479701	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479701/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 2 WT / Liver, WT, ZT 2, DNase / .
5407	1	GSM1479702	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479702/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 6 WT / Liver, WT, ZT 6, DNase / .
5408	1	GSM1479703	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479703/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 10 WT / Liver, WT, ZT 10, DNase / .
5409	1	GSM1479704	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479704/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 14 WT / Liver, WT, ZT 14, DNase / .
5410	1	GSM1479705	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479705/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 18 WT / Liver, WT, ZT 18, DNase / .
5411	1	GSM1479706	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479706/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 22 WT / Liver, WT, ZT 22, DNase / .
5412	1	GSM1479707	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479707/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 26 WT / Liver, WT, ZT 26, DNase / .
5413	1	GSM1479708	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479708/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 6 Bmal1 KO / Liver, Bmal1 KO, ZT 6, DNase / .
5414	1	ENCFF745RFR	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR012YAB/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hindbrain embryo (11.5 days)
5415	1	ENCFF446XWP	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR023QZX/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 kidney embryo (15.5 days)
5416	1	ENCFF700IKY	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR064IHX/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 megakaryocyte-erythroid progenitor cell male adult (5-6 weeks)
5417	1	ENCFF769BOR	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR079GOY/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 intestine postnatal (0 days)
5418	1	ENCFF860QUH	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR088UYE/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hindbrain embryo (12.5 days)
5419	1	ENCFF242FBC	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR096JCC/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 midbrain embryo (16.5 days)
5420	1	ENCFF823RLW	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR102NGD/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 lung postnatal (0 days)
5421	1	ENCFF570DUW	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR136XSY/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 erythroid progenitor cell male adult (5-6 weeks)
5422	1	ENCFF321AYT	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR176BYZ/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hindbrain embryo (13.5 days)
5423	1	ENCFF517RIA	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR229QKB/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 megakaryocyte progenitor cell male adult (5-6 weeks)
5424	1	ENCFF408OOS	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR257PGU/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 granulocyte monocyte progenitor cell male adult (5-6 weeks)
5425	1	ENCFF060HRT	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR273UFV/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 forebrain embryo (11.5 days)
5426	1	ENCFF731NRD	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR280ZDP/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 G1E
5427	1	ENCFF643SRL	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR302LIV/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 liver embryo (12.5 days)
5428	1	ENCFF092DWB	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR310MLB/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 forebrain postnatal (0 days)
5429	1	ENCFF609BWE	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR312LQX/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hindbrain postnatal (0 days)
5430	1	ENCFF161EJL	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR351YUI/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 neutrophil adult (5-6 weeks)
5431	1	ENCFF683WEV	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR366VBB/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hematopoietic stem cell adult (5-6 weeks)
5432	1	ENCFF889QAK	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR382RUC/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 midbrain embryo (11.5 days)
5433	1	ENCFF513ECX	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR428BSK/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours
5434	1	ENCFF564GWQ	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR453AWR/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hematopoietic stem cell
5435	1	ENCFF190LKP	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR468GUI/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 midbrain embryo (15.5 days)
5436	1	ENCFF047WUY	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR498DQA/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 megakaryocyte male adult (5-6 weeks)
5437	1	ENCFF329SPM	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR554JQP/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 cerebellum adult
5438	1	ENCFF917SGA	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR559FAJ/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 forebrain embryo (12.5 days)
5439	1	ENCFF238AZB	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR597BGP/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 stomach postnatal (0 days)
5440	1	ENCFF770CQD	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR609OHJ/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 liver postnatal (0 days)
5441	1	ENCFF956ZAH	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR623GSD/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hindbrain embryo (16.5 days)
5442	1	ENCFF196PJB	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR732OTZ/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 kidney embryo (16.5 days)
5443	1	ENCFF331KWS	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR785NEL/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 liver embryo (11.5 days)
5444	1	ENCFF321OJD	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR793RAV/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 erythroblast male adult (5-6 weeks)
5445	1	ENCFF845NRJ	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR810HQR/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 forebrain embryo (14.5 days)
5446	1	ENCFF810TCB	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR819QOJ/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 midbrain embryo (13.5 days)
5447	1	ENCFF960LTM	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR836PUC/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 forebrain embryo (16.5 days)
5448	1	ENCFF320TGF	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR862JVD/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 monocyte adult (5-6 weeks)
5449	1	ENCFF878HWK	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR889WQX/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 frontal cortex adult
5450	1	ENCFF654YSF	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR903GMO/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 forebrain embryo (13.5 days)
5451	1	ENCFF705VCO	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR914PYX/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 common myeloid progenitor male adult (5-6 weeks)
5452	1	ENCFF114TFO	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR961SMM/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 intestine embryo (15.5 days)
5453	1	ENCFF258MGU	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR966ORC/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 intestine embryo (16.5 days)
5454	1	ENCFF487YTM	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR976LWP/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 forebrain embryo (15.5 days)
5455	1	ENCFF309CAW	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR983JWA/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 neural tube embryo (15.5 days)
5456	1	UW1.1	/home/drk/tillage/datasets/mouse/atac/uw-atlas/UW1.1/summary/Unknown-clusters_1-cluster_1_mm10.w5	32	4	mean	ATAC:Unknown-clusters_1-cluster_1
5457	1	UW1.2	/home/drk/tillage/datasets/mouse/atac/uw-atlas/UW1.2/summary/Unknown-clusters_1-cluster_2_mm10.w5	32	4	mean	ATAC:Unknown-clusters_1-cluster_2
5458	1	UW1.3	/home/drk/tillage/datasets/mouse/atac/uw-atlas/UW1.3/summary/Unknown-clusters_1-cluster_3_mm10.w5	32	4	mean	ATAC:Unknown-clusters_1-cluster_3
5459	1	UW10.1	/home/drk/tillage/datasets/mouse/atac/uw-atlas/UW10.1/summary/Hematopoietic_progenitors-clusters_10-cluster_1_mm10.w5	32	4	mean	ATAC:Hematopoietic_progenitors-clusters_10-cluster_1
