	identifier	file	sum_stat	description
65	HCPEpiC	data/encode/wgEncodeAwgDnaseUwHcpepicUniPk.narrowPeak.gz	peak	HCPEpiC
66	HCT-116	data/encode/wgEncodeAwgDnaseUwHct116UniPk.narrowPeak.gz	peak	HCT-116
67	HEEpiC	data/encode/wgEncodeAwgDnaseUwHeepicUniPk.narrowPeak.gz	peak	HEEpiC
68	HFF	data/encode/wgEncodeAwgDnaseUwHffUniPk.narrowPeak.gz	peak	HFF
69	HFF-Myc	data/encode/wgEncodeAwgDnaseUwHffmycUniPk.narrowPeak.gz	peak	HFF-Myc
70	HGF	data/encode/wgEncodeAwgDnaseUwHgfUniPk.narrowPeak.gz	peak	HGF
71	HIPEpiC	data/encode/wgEncodeAwgDnaseUwHipepicUniPk.narrowPeak.gz	peak	HIPEpiC
72	HL-60	data/encode/wgEncodeAwgDnaseUwHl60UniPk.narrowPeak.gz	peak	HL-60
73	HMF	data/encode/wgEncodeAwgDnaseUwHmfUniPk.narrowPeak.gz	peak	HMF
74	HMVEC-dAd	data/encode/wgEncodeAwgDnaseUwHmvecdadUniPk.narrowPeak.gz	peak	HMVEC-dAd
75	HMVEC-dBl-Ad	data/encode/wgEncodeAwgDnaseUwHmvecdbladUniPk.narrowPeak.gz	peak	HMVEC-dBl-Ad
76	HMVEC-dBl-Neo	data/encode/wgEncodeAwgDnaseUwHmvecdblneoUniPk.narrowPeak.gz	peak	HMVEC-dBl-Neo
77	HMVEC-dLy-Ad	data/encode/wgEncodeAwgDnaseUwHmvecdlyadUniPk.narrowPeak.gz	peak	HMVEC-dLy-Ad
78	HMVEC-dLy-Neo	data/encode/wgEncodeAwgDnaseUwHmvecdlyneoUniPk.narrowPeak.gz	peak	HMVEC-dLy-Neo
79	HMVEC-dNeo	data/encode/wgEncodeAwgDnaseUwHmvecdneoUniPk.narrowPeak.gz	peak	HMVEC-dNeo
80	HMVEC-LBl	data/encode/wgEncodeAwgDnaseUwHmveclblUniPk.narrowPeak.gz	peak	HMVEC-LBl
81	HMVEC-LLy	data/encode/wgEncodeAwgDnaseUwHmvecllyUniPk.narrowPeak.gz	peak	HMVEC-LLy
82	HNPCEpiC	data/encode/wgEncodeAwgDnaseUwHnpcepicUniPk.narrowPeak.gz	peak	HNPCEpiC
83	HPAEC	data/encode/wgEncodeAwgDnaseUwHpaecUniPk.narrowPeak.gz	peak	HPAEC
84	HPAF	data/encode/wgEncodeAwgDnaseUwHpafUniPk.narrowPeak.gz	peak	HPAF
85	HPdLF	data/encode/wgEncodeAwgDnaseUwHpdlfUniPk.narrowPeak.gz	peak	HPdLF
86	HPF	data/encode/wgEncodeAwgDnaseUwHpfUniPk.narrowPeak.gz	peak	HPF
87	HRCEpiC	data/encode/wgEncodeAwgDnaseUwHrcepicUniPk.narrowPeak.gz	peak	HRCEpiC
88	HRE	data/encode/wgEncodeAwgDnaseUwHreUniPk.narrowPeak.gz	peak	HRE
89	HRGEC	data/encode/wgEncodeAwgDnaseUwHrgecUniPk.narrowPeak.gz	peak	HRGEC
90	HRPEpiC	data/encode/wgEncodeAwgDnaseUwHrpepicUniPk.narrowPeak.gz	peak	HRPEpiC
91	HVMF	data/encode/wgEncodeAwgDnaseUwHvmfUniPk.narrowPeak.gz	peak	HVMF
92	Jurkat	data/encode/wgEncodeAwgDnaseUwJurkatUniPk.narrowPeak.gz	peak	Jurkat
93	Monocytes-CD14+	data/encode/wgEncodeAwgDnaseUwMonocytescd14ro01746UniPk.narrowPeak.gz	peak	Monocytes-CD14+
94	NB4	data/encode/wgEncodeAwgDnaseUwNb4UniPk.narrowPeak.gz	peak	NB4
95	NH-A	data/encode/wgEncodeAwgDnaseUwNhaUniPk.narrowPeak.gz	peak	NH-A
96	NHDF-Ad	data/encode/wgEncodeAwgDnaseUwNhdfadUniPk.narrowPeak.gz	peak	NHDF-Ad
97	NHDF-neo	data/encode/wgEncodeAwgDnaseUwNhdfneoUniPk.narrowPeak.gz	peak	NHDF-neo
98	NHLF	data/encode/wgEncodeAwgDnaseUwNhlfUniPk.narrowPeak.gz	peak	NHLF
99	NT2-D1	data/encode/wgEncodeAwgDnaseUwNt2d1UniPk.narrowPeak.gz	peak	NT2-D1
100	PANC-1	data/encode/wgEncodeAwgDnaseUwPanc1UniPk.narrowPeak.gz	peak	PANC-1
101	PrEC	data/encode/wgEncodeAwgDnaseUwPrecUniPk.narrowPeak.gz	peak	PrEC
102	RPTEC	data/encode/wgEncodeAwgDnaseUwRptecUniPk.narrowPeak.gz	peak	RPTEC
103	SAEC	data/encode/wgEncodeAwgDnaseUwSaecUniPk.narrowPeak.gz	peak	SAEC
104	SKMC	data/encode/wgEncodeAwgDnaseUwSkmcUniPk.narrowPeak.gz	peak	SKMC
105	SK-N-MC	data/encode/wgEncodeAwgDnaseUwSknmcUniPk.narrowPeak.gz	peak	SK-N-MC
106	SK-N-SH_RA	data/encode/wgEncodeAwgDnaseUwSknshraUniPk.narrowPeak.gz	peak	SK-N-SH_RA
107	Th2	data/encode/wgEncodeAwgDnaseUwTh2UniPk.narrowPeak.gz	peak	Th2
108	WERI-Rb-1	data/encode/wgEncodeAwgDnaseUwWerirb1UniPk.narrowPeak.gz	peak	WERI-Rb-1
109	WI-38	data/encode/wgEncodeAwgDnaseUwWi38UniPk.narrowPeak.gz	peak	WI-38
110	WI-38_4OHTAM	data/encode/wgEncodeAwgDnaseUwWi38tamoxifentamoxifenUniPk.narrowPeak.gz	peak	WI-38_4OHTAM
111	A549	data/encode/wgEncodeAwgDnaseUwdukeA549UniPk.narrowPeak.gz	peak	A549
112	GM12878	data/encode/wgEncodeAwgDnaseUwdukeGm12878UniPk.narrowPeak.gz	peak	GM12878
113	H1-hESC	data/encode/wgEncodeAwgDnaseUwdukeH1hescUniPk.narrowPeak.gz	peak	H1-hESC
114	HeLa-S3	data/encode/wgEncodeAwgDnaseUwdukeHelas3UniPk.narrowPeak.gz	peak	HeLa-S3
115	HepG2	data/encode/wgEncodeAwgDnaseUwdukeHepg2UniPk.narrowPeak.gz	peak	HepG2
116	HMEC	data/encode/wgEncodeAwgDnaseUwdukeHmecUniPk.narrowPeak.gz	peak	HMEC
117	HSMM	data/encode/wgEncodeAwgDnaseUwdukeHsmmUniPk.narrowPeak.gz	peak	HSMM
118	HSMMtube	data/encode/wgEncodeAwgDnaseUwdukeHsmmtubeUniPk.narrowPeak.gz	peak	HSMMtube
119	HUVEC	data/encode/wgEncodeAwgDnaseUwdukeHuvecUniPk.narrowPeak.gz	peak	HUVEC
120	K562	data/encode/wgEncodeAwgDnaseUwdukeK562UniPk.narrowPeak.gz	peak	K562
121	LNCaP	data/encode/wgEncodeAwgDnaseUwdukeLncapUniPk.narrowPeak.gz	peak	LNCaP
122	MCF-7	data/encode/wgEncodeAwgDnaseUwdukeMcf7UniPk.narrowPeak.gz	peak	MCF-7
123	NHEK	data/encode/wgEncodeAwgDnaseUwdukeNhekUniPk.narrowPeak.gz	peak	NHEK
124	Th1	data/encode/wgEncodeAwgDnaseUwdukeTh1UniPk.narrowPeak.gz	peak	Th1
125	LNG.IMR90 	data/roadmap/E017-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	LNG.IMR90 
126	ESC.H9 	data/roadmap/E008-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	ESC.H9 
127	ESC.H1 	data/roadmap/E003-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	ESC.H1 
128	IPSC.DF.6.9 	data/roadmap/E021-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	IPSC.DF.6.9 
129	IPSC.DF.19.11 	data/roadmap/E022-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	IPSC.DF.19.11 
130	ESDR.H1.NEUR.PROG 	data/roadmap/E007-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	ESDR.H1.NEUR.PROG 
131	ESDR.H1.BMP4.MESO 	data/roadmap/E004-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	ESDR.H1.BMP4.MESO 
132	ESDR.H1.BMP4.TROP 	data/roadmap/E005-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	ESDR.H1.BMP4.TROP 
133	ESDR.H1.MSC 	data/roadmap/E006-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	ESDR.H1.MSC 
134	BLD.CD3.PPC 	data/roadmap/E034-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	BLD.CD3.PPC 
135	BLD.CD3.CPC 	data/roadmap/E033-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	BLD.CD3.CPC 
136	BLD.CD14.PC 	data/roadmap/E029-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	BLD.CD14.PC 
137	BLD.MOB.CD34.PC.M 	data/roadmap/E051-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	BLD.MOB.CD34.PC.M 
138	BLD.MOB.CD34.PC.F 	data/roadmap/E050-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	BLD.MOB.CD34.PC.F 
139	BLD.CD19.PPC 	data/roadmap/E032-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	BLD.CD19.PPC 
140	BLD.CD56.PC 	data/roadmap/E046-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	BLD.CD56.PC 
141	SKIN.PEN.FRSK.FIB.01 	data/roadmap/E055-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	SKIN.PEN.FRSK.FIB.01 
142	SKIN.PEN.FRSK.FIB.02 	data/roadmap/E056-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	SKIN.PEN.FRSK.FIB.02 
143	SKIN.PEN.FRSK.MEL.01 	data/roadmap/E059-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	SKIN.PEN.FRSK.MEL.01 
144	SKIN.PEN.FRSK.KER.02 	data/roadmap/E057-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	SKIN.PEN.FRSK.KER.02 
145	BRST.HMEC.35 	data/roadmap/E028-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	BRST.HMEC.35 
146	THYM.FET 	data/roadmap/E093-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	THYM.FET 
147	BRN.FET.F 	data/roadmap/E082-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	BRN.FET.F 
148	BRN.FET.M 	data/roadmap/E081-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	BRN.FET.M 
149	MUS.PSOAS 	data/roadmap/E100-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	MUS.PSOAS 
150	MUS.TRNK.FET 	data/roadmap/E089-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	MUS.TRNK.FET 
151	MUS.LEG.FET 	data/roadmap/E090-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	MUS.LEG.FET 
152	HRT.FET 	data/roadmap/E083-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	HRT.FET 
153	GI.STMC.FET 	data/roadmap/E092-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	GI.STMC.FET 
154	GI.S.INT.FET 	data/roadmap/E085-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	GI.S.INT.FET 
155	GI.L.INT.FET 	data/roadmap/E084-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	GI.L.INT.FET 
156	GI.S.INT 	data/roadmap/E109-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	GI.S.INT 
157	GI.STMC.GAST 	data/roadmap/E094-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	GI.STMC.GAST 
158	KID.FET 	data/roadmap/E086-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	KID.FET 
159	LNG.FET 	data/roadmap/E088-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	LNG.FET 
160	OVRY 	data/roadmap/E097-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	OVRY 
161	ADRL.GLND.FET 	data/roadmap/E080-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	ADRL.GLND.FET 
162	PLCNT.FET 	data/roadmap/E091-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	PLCNT.FET 
163	PANC 	data/roadmap/E098-DNase.hotspot.fdr0.01.peaks.bed.gz	peak	PANC 
